Number,Company,Symbol,YTD Return
422,Colgate-Palmolive,CL,-13.35
423,Brown & Brown,BRO,-13.47
424,Amcor,AMCR,-13.50
425,HP Inc.,HPQ,-13.55
426,Mid-America Apartment Communities,MAA,-13.71
427,Equity Residential,EQR,-13.72
428,Keurig Dr Pepper,KDP,-13.75
429,West Pharmaceutical Services,WST,-13.91
430,Verisk Analytics,VRSK,-13.91
431,DaVita,DVA,-14.08
432,Prudential Financial,PRU,-14.16
433,Skyworks Solutions,SWKS,-14.17
434,Diamondback Energy,FANG,-14.52
435,AvalonBay Communities,AVB,-14.92
436,ON Semiconductor,ON,-14.95
437,Corpay,CPAY,-15.10
438,Weyerhaeuser,WY,-15.65
439,"UDR, Inc.",UDR,-15.68
440,Church & Dwight,CHD,-15.82
441,Targa Resources,TRGP,-16.04
442,Fidelity National Information Services,FIS,-16.16
443,PG&E Corporation,PCG,-16.48
444,KKR,KKR,-16.50
445,Kraft Heinz,KHC,-16.62
446,Becton Dickinson,BDX,-16.67
447,LKQ Corporation,LKQ,-16.70
448,Viatris,VTRS,-17.07
449,Texas Pacific Land Corporation,TPL,-17.30
450,Occidental Petroleum,OXY,-17.30
451,PayPal,PYPL,-18.14
452,Old Dominion,ODFL,-18.23
453,Molson Coors Beverage Company,TAP,-18.45
454,Cooper Companies (The),COO,-18.75
455,Regeneron Pharmaceuticals,REGN,-19.00
456,IDEX Corporation,IEX,-19.06
457,Adobe Inc.,ADBE,-19.84
458,Copart,CPRT,-20.11
459,Comcast,CMCSA,-20.26
460,Zebra Technologies,ZBRA,-20.38
461,Akamai Technologies,AKAM,-20.46
462,Global Payments,GPN,-20.71
463,Fair Isaac,FICO,-20.76
464,Erie Indemnity,ERIE,-20.94
465,Smurfit WestRock,SW,-21.07
466,Salesforce,CRM,-21.19
467,Alexandria Real Estate Equities,ARE,-21.33
468,Bristol Myers Squibb,BMY,-21.37
469,Baxter International,BAX,-22.00
470,International Flavors & Fragrances,IFF,-23.08
471,Hormel Foods,HRL,-23.11
472,General Mills,GIS,-23.73
473,Apollo Global Management,APO,-23.84
474,Brown–Forman,BF.B,-24.63
475,Campbell Soup Company,CPB,-25.59
476,Clorox,CLX,-25.98
477,Charter Communications,CHTR,-26.56
478,Edison International,EIX,-27.01
479,UnitedHealth Group,UNH,-27.76
480,Accenture,ACN,-28.66
481,Kenvue,KVUE,-29.84
482,Chipotle Mexican Grill,CMG,-29.94
483,United Parcel Service,UPS,-30.17
484,Target Corporation,TGT,-30.22
485,ONEOK,OKE,-31.42
486,Eastman Chemical Company,EMN,-31.97
487,Molina Healthcare,MOH,-31.99
488,GoDaddy,GDDY,-32.76
489,Conagra Brands,CAG,-32.88
490,EPAM Systems,EPAM,-33.48
491,Moderna,MRNA,-33.89
492,Align Technology,ALGN,-35.88
493,Constellation Brands,STZ,-36.20
494,Fiserv,FI,-38.60
495,FactSet,FDS,-38.76
496,LyondellBasell,LYB,-38.95
497,Centene Corporation,CNC,-40.33
498,Dow Inc.,DOW,-45.51
499,CarMax,KMX,-45.76
500,Gartner,IT,-46.76
501,Deckers Brands,DECK,-49.03
502,Lululemon Athletica,LULU,-52.69
503,"The Trade Desk, Inc.",TTD,-54.27
